,CFSAUID
34601,G3C
34603,G3C
34649,G3C
34650,G3C
34666,G3C
34667,G3C
34668,G3C
34669,G3C
34685,G3C
34686,G3C
34693,G3C
34694,G3C
34702,G3C
34703,G3C
34722,G3C
34726,G3C
34728,G3C
34753,G3C
34767,G3C
34768,G3C
34802,G3C
34803,G3C
34834,G3C
34835,G3C
34845,G3C
34846,G3C
34847,G3C
34877,G3C
34878,G3C
34880,G3C
34919,G3C
34920,G3C
34932,G3C
34936,G3C
34937,G3C
34961,G3C
34970,G3C
34971,G3C
34972,G3C
34973,G3C
34979,G3C
34980,G3C
34981,G3C
34988,G3C
35028,G3C
35029,G3C
35031,G3C
35066,G3C
35084,G3C
35085,G3C
35096,G3C
35180,G3C
35181,G3C
35182,G3C
35196,G3C
35197,G3C
35198,G3C
35220,G3C
35221,G3C
35269,G3C
35270,G3C
35276,G3C
35284,G3C
35285,G3C
35327,G3C
35382,G3C
35383,G3C
35437,G3C
35438,G3C
35440,G3C
35450,G3C
35455,G3C
35470,G3C
35473,G3C
35504,G3C
35505,G3C
35534,G3C
35540,G3C
35576,G3C
35577,G3C
35602,G3C
35700,G3C
35709,G3C
35715,G3C
35725,G3C
35726,G3C
35738,G3C
35803,G3C
35804,G3C
35824,G3C
35825,G3C
35827,G3C
35842,G3C
35843,G3C
